,Class,DataType,filename,img_path,size,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
0,Plane,RW,biplane_00.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_00.png,151184,1.859497,-2.4738333,0.13737255,0.393666,-1.6608198,-3.180993,-0.34687945,0.9580172,0.39458066,-0.34607065,2.1455915,0.04205227,0.29387265,1.9369501,-2.6218948,-0.74165493,0.104249805,-0.508126,0.019438373,-0.29801998,-1.4793892,-0.8432036,-0.28106382,-0.07472569,2.0170338,-0.39743185,-0.97779715,-0.015099272,-0.54466665,-0.90840614,0.2803113,-0.9609593
1,Plane,RW,biplane_01.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_01.png,126424,0.34408104,1.980073,-0.6905139,-1.0554323,-0.86942947,2.2082465,1.4110099,0.44277054,-0.35559142,-0.66273683,0.114965275,-0.030664653,0.3909071,-1.0407593,-0.9885925,1.9161682,-0.5817286,1.5571473,2.7890387,0.5625471,0.768374,1.1310567,-0.13608333,1.3818232,0.54146355,-1.7824848,-0.037550986,-0.7711617,1.054774,1.5571661,-0.7021421,0.5755296
2,Plane,RW,biplane_03.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_03.png,97816,-1.117583,3.9557176,0.27318466,-0.14441347,-0.6052365,3.5550067,1.9061538,-0.7208389,1.3525014,-0.4317258,1.3774587,0.47547352,-0.6874985,-0.065547496,-0.92648894,1.301469,-2.1970038,2.9271233,3.2985048,-1.2083366,0.5086868,1.3566897,-0.9572628,1.5863519,-0.973963,-1.7973006,1.0268698,0.7974944,1.1268783,0.26174986,-0.58764684,-0.23067385
3,Plane,RW,biplane_04.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_04.png,84623,0.7931991,1.5860271,0.41913465,0.54651934,0.70854896,0.21720733,1.2280343,0.65774167,0.83356,0.48006088,0.6477088,-0.17763215,1.1489214,1.047464,-0.87551844,0.118878335,0.39971912,-0.15919119,-0.6562701,-0.75674665,1.0319722,0.5814541,0.6633089,1.2358797,-0.2632073,-1.1048625,0.022686124,0.5211233,0.3404451,-0.024729997,-0.84840393,-1.0842446
4,Plane,RW,biplane_05.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_05.png,54497,-0.23544377,3.072425,-0.15902452,-0.5128545,-0.3828209,2.9637182,0.58782625,-1.8442746,0.8858014,-0.968658,0.061751336,-0.6617087,-0.2050158,-0.09136766,-0.77385736,1.1110711,-1.4753546,2.7854695,2.200797,-1.0096874,1.197819,-0.4405607,0.051033493,1.2707853,0.27017692,-2.2382371,2.5333133,0.30395973,-0.17986637,-0.3443084,-0.71460056,1.4718785
5,Plane,RW,biplane_06.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_06.png,126961,-0.5416678,2.6320965,-0.3661266,0.54783225,-0.77897,2.3828535,1.364986,0.33038396,-0.4065864,-0.16732451,0.11745864,-0.56937426,-0.07961424,0.74832505,-0.5384195,1.5039954,-0.5522371,2.0169892,2.0403273,-0.9545115,0.42891395,0.05260068,-0.69713366,0.8353349,1.2198969,-1.0408685,1.1148212,0.54456854,-0.582926,-0.38609523,-1.0084811,1.0875156
6,Plane,RW,biplane_08.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_08.png,109177,1.7281865,-0.6306899,-0.38020173,-0.36494064,-1.44818,0.042618424,-2.2365286,-0.28843337,-1.7227682,-1.9828835,0.037653618,-1.3496213,-0.9061579,2.6302934,-2.3103611,0.09417264,-2.2867677,1.2485923,1.2045102,1.657955,-1.0318823,-0.88828194,0.17296098,-0.6872251,0.046155423,1.3967284,-0.043287367,-1.6981229,-0.5209157,-0.69980526,0.8848887,-0.63344026
7,Plane,RW,biplane_09.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_09.png,85440,-0.69829655,2.0784187,-1.581832,-1.2458203,0.004909605,2.0042715,0.020441398,-0.7170869,-0.9282893,-1.4936053,0.27434462,-1.6414286,-1.5152993,0.75555754,-0.8248562,1.0990323,-2.2397573,2.2928734,2.5043364,1.2803539,0.28095865,0.484838,0.22941336,0.22966355,-1.0818927,0.74633634,0.37105894,-1.4386665,-0.42397076,0.49339238,0.15318233,0.3030974
8,Plane,RW,biplane_10.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_10.png,187329,0.050856233,1.2570107,-0.0492426,0.013261363,0.3690375,2.2951527,-0.4027363,0.36466706,0.026305765,-1.4872952,-1.1197631,-0.48364645,-0.047748536,0.96219885,-0.96810555,1.0722903,-1.6347294,1.7343261,2.2360208,1.1196456,-1.2015632,0.8242838,0.062930174,0.8117455,0.09609094,1.4806285,1.0711951,-1.0894555,-0.13736218,-0.71321654,1.4260925,0.76925474
9,Plane,RW,biplane_11.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_11.png,105760,-0.46349946,2.2770853,2.050054,1.7552056,-0.101938054,0.9390218,1.4845339,0.7049066,3.279212,0.2892117,0.33914053,-0.057961017,0.22348204,0.2663762,-1.5409198,0.79435,-0.40517974,-0.3554982,0.8372157,-1.5044917,1.8851233,0.05552557,-0.16697696,1.6555965,1.6562843,-2.3707256,0.7838867,1.4984536,0.838963,0.10961825,-1.5622783,1.0498048
