,Class,DataType,filename,img_path,size,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
0,Plane,RW,biplane_00.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_00.png,151184,0.46281642,0.095745005,-0.3122775,-0.29677162,0.114149965,0.015456788,-0.28474158,-0.14285228,0.1589582,0.2441408,-0.16078234,-0.21529658,-0.11407661,0.093397684,-0.26874092,-0.3218182,0.1960964,0.11118174,-0.03149431,-0.31090268,0.05284382,0.11265473,-0.029305177,0.28877136,-0.12673084,-0.00715663,-0.16713324,0.2945988,-0.35922298,0.041652136,-0.0926163,0.11626515
1,Plane,RW,biplane_01.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_01.png,126424,-0.011364672,0.15929681,0.14033489,-0.2097445,-0.17195949,-0.15623456,-0.16856791,-0.524094,0.38576365,0.10605801,-0.20331147,-0.014341099,-0.364349,-0.018685983,-0.2488131,-0.044799857,0.21230175,-0.350308,0.44297034,0.17564069,0.030022178,0.11909567,-0.27403876,0.1475974,-0.091507025,-0.23232202,-0.28003213,0.09269095,0.0989479,0.5426458,-0.43812943,0.17481497
2,Plane,RW,biplane_03.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_03.png,97816,0.018648397,0.18622488,0.1306469,-0.32065687,-0.16509543,0.062178712,-0.20766856,-0.45036575,0.15676162,0.64451814,0.0058709583,0.21525347,-0.08877909,0.04896499,-0.46983325,-0.13034241,-0.12967978,0.07403542,-0.07976466,0.34248298,0.14923237,-0.033188324,-0.10760086,0.021113688,-0.23255776,-0.32295486,0.29215127,-0.08835914,0.30630174,0.2907396,-0.47179514,0.102596946
3,Plane,RW,biplane_04.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_04.png,84623,0.2158507,0.30428225,-0.15110096,-0.08063526,-0.26826334,0.015105838,-0.33453503,0.14090389,0.14200582,-0.19055302,-0.3533969,0.49312967,-0.026778843,-0.2086801,0.0336378,0.16365157,0.15422542,-0.21506268,-0.08670328,-0.16717608,0.1424599,0.020646796,0.08591875,0.15617989,-0.27948546,0.14679088,-0.44230962,0.2080073,-0.10244866,0.35779005,-0.23207034,-0.1643406
4,Plane,RW,biplane_05.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_05.png,54497,-0.1408226,0.7166991,0.1935135,0.19037136,0.07558479,-0.12924764,-0.4022577,-0.50926954,-0.21863928,0.69131917,0.09187033,0.19237664,-0.07693857,-0.0651448,0.122135244,-0.20130396,-0.026426105,-0.41517743,0.17936775,0.16654956,-0.1404044,0.11325864,0.4083946,0.29298186,-0.22936317,-0.35723215,0.013926374,0.5274905,-0.38124937,0.53908074,-0.77917904,-0.04595698
5,Plane,RW,biplane_06.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_06.png,126961,-0.3503264,0.37620625,0.08877127,-0.29466692,-0.11234394,-0.39797664,-0.4173831,-0.5454948,0.26816773,0.23782374,-0.15595625,0.28584185,-0.3935076,-0.026769076,-0.20358276,0.21667655,0.15569513,0.15181744,0.5286523,0.020645615,0.039113615,0.20783073,-0.005703618,0.039120737,0.18041211,-0.3958724,0.005649402,-0.1449896,-0.2476801,0.15616778,-0.2959354,-0.07760895
6,Plane,RW,biplane_08.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_08.png,109177,-0.45401415,0.4839348,0.17647955,-0.22338058,-0.03875959,0.11317156,-0.11801688,0.06454438,0.14659162,-0.13192047,0.08242704,-0.05089187,0.058225706,-0.4011228,-0.047726344,-0.12079757,-0.06708779,0.03979355,0.04293542,-0.6253654,-0.20780806,0.038004123,0.2105844,0.28829136,-0.21525769,0.11857351,0.14746678,0.072232194,-0.031978272,-0.057052627,-0.1216644,0.21236117
7,Plane,RW,biplane_09.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_09.png,85440,-0.2542312,0.31940156,-0.31292868,-0.122772425,-0.31715122,-0.32425252,0.11772397,0.17114194,0.2807213,0.2745183,-0.14582631,0.28567028,0.14175673,0.3611824,-0.6008201,-0.36519757,0.22466877,-0.2620054,0.14390133,0.09963247,-0.25161076,0.083719335,-0.03915656,0.04496595,-0.21465509,0.11337385,-0.30197823,-0.05744782,-0.007880222,0.2684793,0.031804103,0.045769647
8,Plane,RW,biplane_10.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_10.png,187329,-0.41370296,0.1832408,-0.15902749,-0.19744475,0.03397708,-0.18440202,-0.16448444,0.4342604,0.22983557,0.3931,0.10605527,0.29291728,-0.23407163,0.17740192,-0.228873,-0.0643847,-0.1380652,-0.14672679,0.14296764,0.10967393,0.058785066,0.30211544,0.38591304,-0.08233259,-0.027975686,0.19027695,-0.6549364,0.16375217,-0.578028,-0.25175455,-0.16512483,0.18498908
9,Plane,RW,biplane_11.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_11.png,105760,0.0700371,0.26405972,-0.096348524,-0.17066321,-0.37520885,0.10211054,-0.4017579,-0.41254145,-0.010023211,-0.06569333,0.07442077,0.18568157,-0.1528734,-0.37626213,-0.23377652,0.42796668,0.0644119,-0.30220267,-0.09626244,-0.25010374,0.0055743027,0.18643469,0.27646106,-0.07931405,-0.25236025,0.07115727,-0.45592093,0.027073264,0.0020030518,0.35904512,-0.31800953,-0.16805598
