,Class,DataType,filename,img_path,size,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
0,Plane,RW,biplane_00.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_00.png,151184,0.584528,-0.25769773,0.6188327,-0.74114394,-0.29172483,0.97844815,0.7405045,0.6053963,-0.6185109,0.4639914,-0.16614637,-0.1517283,-0.2689856,-1.1039108,-0.73739237,-0.9243666,-0.07860201,1.9764191,0.24292502,-0.79016936,0.436024,-2.3892236,-1.5674297,0.040669113,0.34995896,-1.291923,1.2224836,-0.9951477,0.21746099,1.0204021,0.8058269,-2.0898454
1,Plane,RW,biplane_01.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_01.png,126424,1.1282147,0.29260015,-0.69139856,0.26750308,0.038747538,-0.35608461,-0.5654825,-1.834484,2.814473,0.12769884,0.82126844,1.711981,2.0102375,-1.4117452,-0.14110948,0.7104672,0.10088972,1.3143235,0.9922083,0.57297957,-1.3317525,-0.60123515,0.8322799,0.16062494,-1.5046153,1.4773059,-0.87247175,0.41015342,-1.6756635,0.7212152,1.0653555,1.1688554
2,Plane,RW,biplane_03.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_03.png,97816,-1.2114197,0.43184537,2.4395561,0.15397704,0.9462837,1.1177806,0.6145443,-2.3056216,0.60860634,0.015082955,0.7195008,0.25238946,1.3339334,0.9693706,-0.2500303,-0.3546374,0.08376969,2.1438005,-1.1758467,-1.2859216,-1.0429797,-1.3771507,-0.32352626,-0.038579814,-1.2829049,0.3896983,-0.8834077,0.69062555,-0.87573516,1.9863191,1.1282805,0.02707541
3,Plane,RW,biplane_04.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_04.png,84623,0.3567346,-0.7977998,-0.6307757,-0.81419456,-0.24809651,1.2801636,-0.20950416,0.7893704,-0.043750137,2.0123308,-0.893428,-0.3640864,-0.25488085,0.63223875,0.37928903,-1.332301,0.7278618,0.40904722,1.0001253,0.7028415,-0.33069888,1.2831109,2.3600233,-0.22071595,-1.6146225,-0.42451668,-0.19820192,-1.0435028,1.1258569,-0.16951506,-1.2311254,0.5048902
4,Plane,RW,biplane_05.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_05.png,54497,-0.08073926,1.364483,0.7740873,1.6999764,0.09402491,0.48495957,-0.33255732,2.0445926,0.023315758,1.3531432,0.28883028,0.7830971,0.72237843,2.2384684,-1.4103168,-1.195211,0.6710296,1.0757743,-0.16915071,-1.0119197,-1.7678545,0.5848408,0.7772248,1.4959105,0.18792671,-0.05213678,-2.7251673,-1.3475428,0.809049,-0.67251205,-1.904707,0.3320355
5,Plane,RW,biplane_06.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_06.png,126961,1.1818497,0.41286522,1.6837416,-1.5989262,1.543688,-0.29470736,-1.405505,-0.22518057,-1.7501209,1.5709231,0.1033586,1.5267624,1.6017992,1.7999634,-1.0769211,0.08849406,0.47865602,0.25696075,-0.16837035,0.67319024,-1.3353608,1.0221243,-0.9323484,0.98292154,-1.9891269,-0.5998087,-0.528213,0.047856793,-1.0846057,-0.9228833,-0.8864808,1.2428265
6,Plane,RW,biplane_08.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_08.png,109177,1.0748514,0.017056793,1.9874874,-0.27323404,0.3176821,-0.024874732,1.8313934,-0.15633631,-0.34300986,0.56754386,-0.89533424,0.8538143,0.90804887,-1.2418149,0.6584141,0.4614717,-0.42478073,-0.37473556,-0.04368701,0.86772585,-0.18583252,0.11338152,1.5269547,0.4005178,-0.91482604,0.15325963,-0.24235046,0.43010637,-0.29491824,-0.079590425,-1.4666936,1.7332389
7,Plane,RW,biplane_09.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_09.png,85440,0.346555,-1.5552256,1.320672,-1.2956824,-1.4064934,0.083037816,-0.8060883,-1.0299098,0.6736768,1.4573169,-1.992274,0.5955695,1.7763718,0.7174631,-0.94693196,-0.72016287,0.7928943,-0.32098565,0.4654137,0.71556437,-1.0410476,0.78461033,0.8628808,-0.82588714,-0.90996814,-0.7165194,-0.6902126,0.6140117,-0.39241213,0.19896391,-0.4316908,0.82361317
8,Plane,RW,biplane_10.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_10.png,187329,0.33185875,0.22994958,2.7085993,-0.65525234,0.8509973,-0.78079444,1.0074146,-1.8634751,-0.0821563,1.2265117,1.2382646,-0.90711015,0.13253129,-0.10195458,-0.6783251,-0.19202301,-0.44730663,-0.75278443,-1.8519849,-0.13416108,-2.1417081,-1.60899,-1.0709558,1.3093088,-1.1109835,-0.8204742,-0.34278232,0.55298376,-0.11274041,0.40936834,-1.5035145,-0.7267441
9,Plane,RW,biplane_11.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_11.png,105760,0.09720945,0.48249054,0.42539996,0.78380775,-0.35138357,-1.3145182,-0.39329633,-0.6335168,-0.82251906,-1.2591856,2.0942228,3.084734,0.78948444,0.6497519,1.6320832,-0.32166392,0.04274016,-0.45640713,-0.7254506,-0.29374906,-0.832241,-0.84189093,-0.096385956,-0.54627633,-2.246364,-0.36922574,0.8595153,2.1458426,-0.08416152,0.41313627,0.20447227,-0.052839667
10,Plane,RW,biplane_12.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_12.png,60063,-0.42308605,1.9114597,2.6456642,0.23753542,0.4993132,0.43411994,-0.15103501,-1.306747,-1.0039127,0.4640405,0.9282489,-0.64765155,1.7757456,-0.2760173,0.83443975,0.20224953,-0.94780076,0.67224765,-1.3733746,-0.5498668,-0.28417766,-0.101929575,1.4229484,-0.2687205,-0.20180452,1.2396313,-1.7022655,1.0226132,0.039585233,-1.0258174,0.7076584,2.1845608
11,Plane,RW,biplane_13.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_13.png,10220,-1.177196,1.1447407,-0.04733336,-1.9437501,-0.021450162,0.092978165,-0.60775685,-1.502948,1.1512482,1.0716921,0.6731803,1.0256268,0.9530794,0.41319442,0.35364807,-0.6396455,-0.63119346,0.067904174,1.5227933,1.0131005,0.7999951,0.18184745,-2.805238,0.516038,-1.910693,-0.586442,-1.3684447,-1.3763397,-0.119695395,1.1019745,1.4262087,1.0717114
12,Plane,RW,biplane_14.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_14.png,70512,0.023964643,0.103318356,1.7584893,-1.3024418,1.4870638,-1.2921486,-0.28303653,-2.582749,0.18884566,0.3057779,-0.7564378,0.1726928,1.5064056,-0.091931075,-0.028056642,1.2388618,0.9405822,0.4511813,1.049615,-0.24043804,-2.196967,0.48423636,1.3785522,1.5580661,-0.60110974,-0.91061455,-0.024004936,-0.27270484,0.035795003,0.7513157,-0.35554436,0.9568215
13,Plane,RW,biplane_15.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_15.png,40978,1.4580153,0.45121935,-0.11444843,-0.9687153,-1.4526579,0.23753789,-1.4025823,-0.4209382,1.8696795,0.48901412,-0.60427874,1.3360682,0.4922694,0.6952414,0.012759566,-0.03354302,0.84197116,1.0620658,-1.0011137,0.49740985,-0.94008124,-0.22025064,1.3510487,-0.11878528,-0.49543715,0.5041241,-0.49650258,0.007828727,-1.1141354,2.1312933,-1.0800961,1.3265673
14,Plane,RW,biplane_16.png,D:/AI_Learning_Images/snips/20200828T1120_results/biplane_16.png,29686,1.2390357,0.34003866,1.4352425,-0.59542096,0.060310364,-0.529278,-0.50653774,-2.0284846,-1.3680114,0.377818,0.9835898,-0.78011835,0.8729169,0.14164011,1.4856672,-0.10158752,-0.32898962,0.423257,0.61749667,-1.5452416,-1.3918967,0.28192493,-0.2537104,-0.46693176,-3.4976196,-1.7091603,-1.2667897,-1.0101734,-0.54554844,3.1698275,-1.3321931,0.3243481
