,Class,DataType,filename,img_path,z_filename,z_img_path,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
0,Plane,RW,biplane_00.png,data/biplane_00.png,None,None,-0.43882692,1.1520368,-0.08816435,0.17058262,-0.06747187,-1.0965797,-0.27527764,-0.38397932,0.122520834,-0.14733066,0.29142925,-0.21595734,0.15119898,-0.5230861,0.21875827,-0.24743827,0.15594374,-0.037119318,-0.20905823,0.35196084,0.71315277,0.07376274,0.42878434,0.4060617,0.14400002,0.12961388,0.053408485,0.6533474,0.14382358,-0.05554615,-0.016051907,-0.8408936
1,Plane,RW,biplane_01.png,data/biplane_01.png,None,None,-0.9499349,0.5975601,0.30011472,0.054943472,-0.06815367,-0.67255545,0.6041079,-0.5376877,0.26630655,0.7896417,0.89690024,0.112002864,-0.8695844,-0.2705505,0.31529227,-0.006445577,-0.43308967,0.13912271,-0.45587766,0.37682343,0.70171195,-0.5951545,-0.11700464,0.007965958,-0.41467428,0.6091316,0.31646648,0.450134,-0.3633976,0.06398928,-0.392607,-0.0566194
2,Plane,RW,biplane_03.png,data/biplane_03.png,None,None,-0.6361964,0.68971366,0.038373966,0.65320253,-0.24968953,-0.21128449,0.20303328,-0.004711252,0.5042972,0.52021766,0.697805,-0.108154796,0.15261775,-0.45911568,0.63991684,0.11726925,-0.3952832,0.21791233,-0.10095409,0.23788653,0.64800185,-0.83929855,-0.07163363,-0.15454929,-0.21272969,-0.2736724,0.27347293,0.16589865,0.33261874,-0.15273423,-0.25367326,-0.14332274
3,Plane,RW,biplane_04.png,data/biplane_04.png,None,None,-0.29336497,0.5217741,0.002295714,0.5416764,-0.15227966,-0.14225525,-0.11655066,-0.3227315,-0.012844783,0.83328754,0.3058322,0.30542725,-0.2864494,-0.8534161,0.11176748,0.000765866,-0.19248836,-0.06884417,-0.32391664,-0.06483125,0.57159585,-0.528972,0.36861908,0.014237657,-0.3875166,-0.14641348,0.31008503,0.5297306,0.030133039,0.13993843,0.07945633,-0.107020564
4,Plane,RW,biplane_05.png,data/biplane_05.png,None,None,-0.19305247,0.59608144,0.42154697,-0.29529566,-0.23178473,-1.3072332,0.15447006,-0.13577902,0.23265839,0.9875006,0.47159037,-0.06895295,-0.7222611,-0.62334746,-0.34460816,-0.09568309,-0.114318006,-0.2058358,-0.65985835,0.06460177,0.4689095,-0.38594672,0.28770652,0.33860755,-0.3399153,0.036728136,-0.11510634,0.8363217,0.058919527,-0.43666795,-0.21397959,0.09549765
5,Plane,RW,biplane_06.png,data/biplane_06.png,None,None,-0.42278445,0.34076416,0.44972014,0.029888788,0.29102692,-0.7619442,-0.12692732,-0.44415984,0.69417554,0.48188347,0.22408837,0.33513606,-0.7469576,0.13898206,0.57231826,-0.22901012,0.23686391,-0.095634855,-0.53545994,0.17609069,1.3025539,-0.48438108,0.1456414,-0.19909787,-0.3351802,-0.083959654,0.10823554,0.31278756,-0.013238776,-0.5408498,-0.57776684,0.24553066
6,Plane,RW,biplane_07.png,data/biplane_07.png,None,None,-0.49232352,1.6146189,0.045859143,0.37726074,-0.04837928,0.5823405,0.2368706,-0.33257034,-0.19968343,0.31550488,-0.08714591,-0.68190217,-0.17694184,-1.3252077,0.46894145,-0.10116306,0.076878496,0.4690948,-0.03921331,0.14494069,1.3025458,0.4740778,0.34302926,-0.54633385,0.7342803,0.32442385,0.14497268,-0.5676705,-0.6128047,0.5444311,0.4565252,0.011053312
7,Plane,RW,biplane_08.png,data/biplane_08.png,None,None,-0.10890297,0.6478549,-0.15573524,0.199322,-0.19610052,-1.0222005,0.26709217,-0.28498095,0.41123882,0.39605555,-0.14103648,0.3408882,-0.015107892,-0.2463024,-0.41430366,-0.1769278,0.3507181,-0.15696728,-0.52798015,-0.4496872,0.4761694,-0.32023183,-0.2127775,-0.32587168,-0.15922685,0.18630433,-0.07039769,0.30527645,-0.24009456,-0.09659109,-0.037710685,0.31234998
8,Plane,RW,biplane_09.png,data/biplane_09.png,None,None,-0.09673146,0.6111105,-0.15236454,0.24456123,0.046239905,-0.17748831,0.052638885,-0.096865,0.38667437,0.6028228,0.03319522,0.14135177,-0.31707335,-0.4192268,-0.021643037,-0.20157497,0.12192038,-0.20743082,-0.22307329,-0.04335595,0.3666988,0.01665894,0.32404423,0.000794526,-0.20779604,-0.060198613,-0.2724424,0.31610543,0.027544025,-0.08269109,-0.103580296,0.15531816
9,Plane,RW,biplane_10.png,data/biplane_10.png,None,None,-0.28709194,0.98703897,0.08552207,0.46608713,0.25097126,-0.6178509,-0.34471697,-0.07613112,0.30517948,0.92456454,0.15399511,-0.26658937,0.2597549,-0.03598591,-0.28711268,-0.21755505,0.077549286,-0.32055405,-0.06242524,0.41822925,1.0878564,-0.36612815,0.6208419,-0.34601372,-0.26438347,0.13386834,0.6105852,-0.158144,-0.394278,-0.17767262,0.14648433,-0.06506413
